contract_id,customer_id,supplier_id,commodity_code,contract_type,start_date,end_date,contract_value_usd,payment_terms,delivery_terms,quality_requirements,penalty_clauses,termination_notice_days,auto_renewal,renewal_date,signed_by_customer,signed_by_supplier,contract_status,amendments_count,version
CON-00001,CUS-0082,SUP-0063,CEM,Cost Plus,2023-05-06,2026-05-05,3091087.81,Net 45,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,true,2026-04-05,true,true,active,3,4
CON-00002,CUS-0212,SUP-0012,REE,Fixed Price,2023-04-23,2026-04-22,9530708.73,Net 60,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,true,2026-03-23,true,false,active,4,4
CON-00003,CUS-0193,SUP-0110,PLA,Time & Materials,2023-07-13,2024-07-12,14145884.11,Net 60,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,true,2024-06-12,true,true,active,4,2
CON-00004,CUS-0078,SUP-0192,LIT,Fixed Price,2019-04-11,2020-04-10,7383271.07,Net 45,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,false,2020-03-11,true,true,expired,1,3
CON-00005,CUS-0316,SUP-0028,RBR,Framework,2021-05-25,2022-05-25,583699.27,Net 30,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2022-04-25,true,true,expired,0,6
CON-00006,CUS-0111,SUP-0120,STL,Cost Plus,2015-08-25,2018-08-24,12497043.66,Net 45,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2018-07-25,true,true,expired,1,4
CON-00007,CUS-0167,SUP-0030,RBR,Volume Discount,2019-01-04,2021-01-03,5978000.29,Net 60,DAP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,true,2020-12-04,true,true,expired,3,4
CON-00008,CUS-0056,SUP-0115,STL,Fixed Price,2017-01-21,2020-01-21,6313625.59,Net 30,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",30,false,2019-12-22,true,true,expired,3,6
CON-00009,CUS-0225,SUP-0176,GLS,Fixed Price,2020-06-20,2021-06-20,5302311.9,Net 45,FOB,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",60,true,2021-05-21,true,true,expired,4,3
CON-00010,CUS-0266,SUP-0181,REE,Volume Discount,2021-08-21,2024-08-20,13551043.4,Net 45,DDP,ISO 9001; lot inspection; traceability,"1% per late week, capped at 10%",90,false,2024-07-21,true,true,active,1,6
