alert_id,created_at,alert_type,severity,title,description,entity_type,entity_id,threshold_value,actual_value,status,assigned_to,resolved_at,resolution_notes,auto_generated,escalation_level,related_alerts
ALT-000001,2017-02-09T01:00:00Z,Risk score spike,Critical,Risk score spike detected for SUP-0202,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0202,27.71,39.04,open,USR-0040,,,true,1,[]
ALT-000002,2015-01-10T06:00:00Z,Price spike,High,Price spike detected for PO-111448,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-111448,10.03,79.6,resolved,USR-0064,2015-02-04T12:00:00Z,Supplier contacted and mitigation recorded,true,2,[]
ALT-000003,2021-01-29T02:00:00Z,Stock overstock,Low,Stock overstock detected for INV-CA-ALM,Automated monitoring threshold exceeded; review recommended.,inventory,INV-CA-ALM,61.14,137.92,resolved,USR-0049,2021-02-24T12:00:00Z,Supplier contacted and mitigation recorded,true,0,[]
ALT-000004,2021-04-29T22:00:00Z,Demand surge,High,Demand surge detected for PO-101020,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-101020,96.3,47.66,resolved,USR-0071,2021-05-05T12:00:00Z,Supplier contacted and mitigation recorded,true,1,[]
ALT-000005,2019-04-08T01:00:00Z,Payment overdue,Medium,Payment overdue detected for CUS-0288,Automated monitoring threshold exceeded; review recommended.,customer,CUS-0288,74.6,102.44,open,USR-0018,,,true,2,[]
ALT-000006,2020-09-02T11:00:00Z,Payment overdue,Medium,Payment overdue detected for CUS-0082,Automated monitoring threshold exceeded; review recommended.,customer,CUS-0082,58.57,67.95,resolved,USR-0051,2020-09-14T12:00:00Z,Supplier contacted and mitigation recorded,true,1,[]
ALT-000007,2016-02-20T19:00:00Z,Demand surge,High,Demand surge detected for PO-118051,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-118051,30.79,107.39,resolved,USR-0058,2016-03-16T12:00:00Z,Supplier contacted and mitigation recorded,true,0,[]
ALT-000008,2018-03-23T15:00:00Z,Payment overdue,Medium,Payment overdue detected for CUS-0100,Automated monitoring threshold exceeded; review recommended.,customer,CUS-0100,34.26,136.86,resolved,USR-0005,2018-04-21T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000009,2020-12-10T23:00:00Z,Anomaly detected,High,Anomaly detected detected for PO-144836,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-144836,78.7,21.72,resolved,USR-0015,2020-12-18T12:00:00Z,Supplier contacted and mitigation recorded,true,0,[]
ALT-000010,2016-01-21T02:00:00Z,Anomaly detected,High,Anomaly detected detected for PO-120727,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-120727,14.26,131.76,resolved,USR-0042,2016-02-08T12:00:00Z,Supplier contacted and mitigation recorded,true,2,[]
ALT-000011,2016-10-25T03:00:00Z,Demand surge,High,Demand surge detected for PO-135061,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-135061,37.36,95.24,resolved,USR-0050,2016-11-01T12:00:00Z,Supplier contacted and mitigation recorded,true,0,[]
ALT-000012,2016-02-17T00:00:00Z,Stock low,Medium,Stock low detected for INV-CN-NIC,Automated monitoring threshold exceeded; review recommended.,inventory,INV-CN-NIC,55.09,63.95,resolved,USR-0048,2016-03-17T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000013,2023-11-16T16:00:00Z,Price spike,High,Price spike detected for PO-132732,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-132732,61.85,126.15,resolved,USR-0081,2023-12-07T12:00:00Z,Supplier contacted and mitigation recorded,true,0,[]
ALT-000014,2024-11-25T02:00:00Z,Supplier delay,High,Supplier delay detected for SUP-0188,Automated monitoring threshold exceeded; review recommended.,supplier,SUP-0188,15.41,89.0,resolved,USR-0065,2024-12-05T12:00:00Z,Supplier contacted and mitigation recorded,true,0,[]
ALT-000015,2017-02-22T16:00:00Z,Price spike,High,Price spike detected for PO-119608,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-119608,63.14,23.25,open,USR-0067,,,true,0,[]
ALT-000016,2020-02-24T03:00:00Z,Price spike,High,Price spike detected for PO-112659,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-112659,37.69,139.86,resolved,USR-0021,2020-03-21T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000017,2022-10-20T20:00:00Z,Stock overstock,Low,Stock overstock detected for INV-PL-COP,Automated monitoring threshold exceeded; review recommended.,inventory,INV-PL-COP,92.56,117.43,resolved,USR-0057,2022-10-21T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000018,2020-08-01T02:00:00Z,Stock overstock,Low,Stock overstock detected for INV-US-REE,Automated monitoring threshold exceeded; review recommended.,inventory,INV-US-REE,66.22,47.04,open,USR-0024,,,true,3,[]
ALT-000019,2019-06-13T09:00:00Z,Demand surge,High,Demand surge detected for PO-129415,Automated monitoring threshold exceeded; review recommended.,purchase_order,PO-129415,40.25,83.91,resolved,USR-0039,2019-07-04T12:00:00Z,Supplier contacted and mitigation recorded,true,3,[]
ALT-000020,2019-08-27T08:00:00Z,Stock overstock,Low,Stock overstock detected for INV-IN-RBR,Automated monitoring threshold exceeded; review recommended.,inventory,INV-IN-RBR,12.4,29.54,resolved,USR-0020,2019-09-25T12:00:00Z,Supplier contacted and mitigation recorded,true,0,[]
ALT-000021,2024-06-07T09:00:00Z,Stock low,Medium,Stock low detected for INV-AU-STL,Automated monitoring threshold exceeded; review recommended.,inventory,INV-AU-STL,16.28,14.07,resolved,USR-0035,2024-06-23T12:00:00Z,Supplier contacted and mitigation recorded,true,0,[]
ALT-000022,2018-06-16T18:00:00Z,Stock overstock,Low,Stock overstock detected for INV-CN-TIM,Automated monitoring threshold exceeded; review recommended.,inventory,INV-CN-TIM,19.67,23.75,resolved,USR-0066,2018-06-24T12:00:00Z,Supplier contacted and mitigation recorded,true,1,[]
ALT-000023,2015-01-06T13:00:00Z,Stock overstock,Low,Stock overstock detected for INV-MX-RBR,Automated monitoring threshold exceeded; review recommended.,inventory,INV-MX-RBR,45.28,43.02,open,USR-0081,,,true,1,[]
